productId,group,name,ext_num,cleanName,searchTerm,url,subTypeName,lowPrice,midPrice,marketPrice
672735,Ascended Heroes,Ascended Heroes Mega Feraligatr ex Box,,Ascended Heroes Mega Feraligatr ex Box,unopened Mega Feraligatr ex Box Ascended Heroes ,https://www.tcgplayer.com/product/672735/pokemon-me-ascended-heroes-ascended-heroes-mega-feraligatr-ex-box,Normal,69.45,69.45,69.5
672737,Ascended Heroes,Ascended Heroes Mega ex Boxes Case,,Ascended Heroes Mega ex Boxes Case,unopened Mega ex Boxes Case Ascended Heroes ,https://www.tcgplayer.com/product/672737/pokemon-me-ascended-heroes-ascended-heroes-mega-ex-boxes-case,Normal,494.95,499.95,586.93
676030,Ascended Heroes,Erika's Tangela - 218/217,218/217,Erikas Tangela 218 217,"Erika's Tangela  ""218/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676030/pokemon-me-ascended-heroes-erikas-tangela-218-217,Holofoil,25.75,31.63,27.77
676038,Ascended Heroes,Psyduck - 226/217,226/217,Psyduck 226 217,"Psyduck  ""226/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676038/pokemon-me-ascended-heroes-psyduck-226-217,Holofoil,77.02,89.6,79.38
676050,Ascended Heroes,Team Rocket's Mimikyu - 238/217,238/217,Team Rockets Mimikyu 238 217,"Team Rocket's Mimikyu  ""238/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676050/pokemon-me-ascended-heroes-team-rockets-mimikyu-238-217,Holofoil,29.99,34.54,32.1
676081,Ascended Heroes,Mega Gengar ex - 269/217,269/217,Mega Gengar ex 269 217,"Mega Gengar ex  ""269/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676081/pokemon-me-ascended-heroes-mega-gengar-ex-269-217,Holofoil,67.32,75,69.59
676083,Ascended Heroes,Mega Dragonite ex - 271/217,271/217,Mega Dragonite ex 271 217,"Mega Dragonite ex  ""271/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676083/pokemon-me-ascended-heroes-mega-dragonite-ex-271-217,Holofoil,50,58.3,54.57
676084,Ascended Heroes,Mega Meganium ex - 272/217,272/217,Mega Meganium ex 272 217,"Mega Meganium ex  ""272/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676084/pokemon-me-ascended-heroes-mega-meganium-ex-272-217,Holofoil,96.18,105.99,96.57
676085,Ascended Heroes,Mega Emboar ex - 273/217,273/217,Mega Emboar ex 273 217,"Mega Emboar ex  ""273/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676085/pokemon-me-ascended-heroes-mega-emboar-ex-273-217,Holofoil,55.54,74.95,55.54
676086,Ascended Heroes,Mega Feraligatr ex - 274/217,274/217,Mega Feraligatr ex 274 217,"Mega Feraligatr ex  ""274/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676086/pokemon-me-ascended-heroes-mega-feraligatr-ex-274-217,Holofoil,145.15,177.5,145.15
676087,Ascended Heroes,Mega Froslass ex - 275/217,275/217,Mega Froslass ex 275 217,"Mega Froslass ex  ""275/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676087/pokemon-me-ascended-heroes-mega-froslass-ex-275-217,Holofoil,75,81.88,77.87
676088,Ascended Heroes,Pikachu ex - 276/217,276/217,Pikachu ex 276 217,"Pikachu ex  ""276/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676088/pokemon-me-ascended-heroes-pikachu-ex-276-217,Holofoil,614.95,708.06,522.68
676089,Ascended Heroes,Pikachu ex - 277/217,277/217,Pikachu ex 277 217,"Pikachu ex  ""277/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676089/pokemon-me-ascended-heroes-pikachu-ex-277-217,Holofoil,330,342.5,334.47
676090,Ascended Heroes,Mega Eelektross ex - 278/217,278/217,Mega Eelektross ex 278 217,"Mega Eelektross ex  ""278/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676090/pokemon-me-ascended-heroes-mega-eelektross-ex-278-217,Holofoil,45,51.35,44
