productId,group,name,ext_num,cleanName,searchTerm,url,subTypeName,lowPrice,midPrice,marketPrice
89446,Legend Maker,Spheal,65/92,Spheal,"Spheal ""65/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/89446/pokemon-legend-maker-spheal,Reverse Holofoil,19.0,19.99,18.87
89460,Legend Maker,Spinda,26/92,Spinda,"Spinda ""26/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/89460/pokemon-legend-maker-spinda,Reverse Holofoil,25.0,33.5,32.0
89743,Legend Maker,Tangela,44/92,Tangela,"Tangela ""44/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/89743/pokemon-legend-maker-tangela,Reverse Holofoil,67.95,67.95,12.0
89867,Legend Maker,Tentacool,66/92,Tentacool,"Tentacool ""66/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/89867/pokemon-legend-maker-tentacool,Reverse Holofoil,19.95,44.63,6.89
90335,Legend Maker,Vibrava,46/92,Vibrava,"Vibrava ""46/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/90335/pokemon-legend-maker-vibrava,Reverse Holofoil,25.83,41.58,12.29
90417,Legend Maker,Voltorb,68/92,Voltorb,"Voltorb ""68/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/90417/pokemon-legend-maker-voltorb,Reverse Holofoil,27.0,29.99,9.1
90452,Legend Maker,Wailmer,69/92,Wailmer,"Wailmer ""69/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/90452/pokemon-legend-maker-wailmer,Reverse Holofoil,41.63,43.57,17.39
90458,Legend Maker,Wailord,14/92,Wailord,"Wailord ""14/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/90458/pokemon-legend-maker-wailord,Reverse Holofoil,48.01,66.54,26.25
90470,Legend Maker,Walrein ex,89/92,Walrein ex,"Walrein ex ""89/92"" Legend Maker holo",https://www.tcgplayer.com/product/90470/pokemon-legend-maker-walrein-ex,Holofoil,28.99,32.7,63.11
90616,Legend Maker,Wobbuffet,28/92,Wobbuffet,"Wobbuffet ""28/92"" Legend Maker reverse holo",https://www.tcgplayer.com/product/90616/pokemon-legend-maker-wobbuffet,Reverse Holofoil,18.22,39.46,22.48
