productId,group,name,cleanName,url,subTypeName,lowPrice,midPrice,marketPrice
592074,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Marvel's Wolverine - Non-Foil Edition,Secret Lair Drop Secret Lair x Marvels Wolverine Non Foil Edition,https://www.tcgplayer.com/product/592074/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-marvels-wolverine-non-foil-edition,Normal,125.0,151.1,119.05
592079,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Marvel's Storm - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Marvels Storm Rainbow Foil Edition,https://www.tcgplayer.com/product/592079/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-marvels-storm-rainbow-foil-edition,Normal,99.99,149.99,105.72
592080,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Marvel's Storm - Non-Foil Edition,Secret Lair Drop Secret Lair x Marvels Storm Non Foil Edition,https://www.tcgplayer.com/product/592080/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-marvels-storm-non-foil-edition,Normal,81.96,100.0,87.09
592081,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Marvel's Black Panther - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Marvels Black Panther Rainbow Foil Edition,https://www.tcgplayer.com/product/592081/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-marvels-black-panther-rainbow-foil-edition,Normal,46.5,69.95,51.79
592086,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Marvel's Black Panther - Non-Foil Edition,Secret Lair Drop Secret Lair x Marvels Black Panther Non Foil Edition,https://www.tcgplayer.com/product/592086/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-marvels-black-panther-non-foil-edition,Normal,42.0,58.49,48.72
594413,Secret Lair Drop Series,Abundant Groot - Abundant Growth (Rainbow Foil),Abundant Groot Abundant Growth Rainbow Foil,https://www.tcgplayer.com/product/594413/magic-secret-lair-drop-series-abundant-groot-abundant-growth-rainbow-foil,Foil,99.99,119.8,116.71
599982,Secret Lair Drop Series,Revel in Riches (Rainbow Foil),Revel in Riches Rainbow Foil,https://www.tcgplayer.com/product/599982/magic-secret-lair-drop-series-revel-in-riches-rainbow-foil,Foil,33.36,41.49,38.1
603324,Secret Lair Drop Series,Secret Lair Drop: The Fairest Drop of All - Traditional Foil Edition,Secret Lair Drop The Fairest Drop of All Traditional Foil Edition,https://www.tcgplayer.com/product/603324/magic-secret-lair-drop-series-secret-lair-drop-the-fairest-drop-of-all-traditional-foil-edition,Normal,43.22,59.0,45.36
605064,Secret Lair Drop Series,Elvish Champion (Extended Art),Elvish Champion Extended Art,https://www.tcgplayer.com/product/605064/magic-secret-lair-drop-series-elvish-champion-extended-art,Foil,273.63,312.47,253.72
610786,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Plains - Non-Foil Edition,Secret Lair Drop The Strange Sands Plains Non Foil Edition,https://www.tcgplayer.com/product/610786/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-plains-non-foil-edition,Normal,37.15,46.95,39.55
610787,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Plains - Rainbow Foil Edition,Secret Lair Drop The Strange Sands Plains Rainbow Foil Edition,https://www.tcgplayer.com/product/610787/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-plains-rainbow-foil-edition,Normal,45.0,49.99,53.99
610788,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Island - Non-Foil Edition,Secret Lair Drop The Strange Sands Island Non Foil Edition,https://www.tcgplayer.com/product/610788/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-island-non-foil-edition,Normal,79.99,101.0,75.66
610789,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Island - Rainbow Foil Edition,Secret Lair Drop The Strange Sands Island Rainbow Foil Edition,https://www.tcgplayer.com/product/610789/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-island-rainbow-foil-edition,Normal,114.99,160.0,93.65
610790,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Swamp - Non-Foil Edition,Secret Lair Drop The Strange Sands Swamp Non Foil Edition,https://www.tcgplayer.com/product/610790/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-swamp-non-foil-edition,Normal,38.3,54.67,49.24
610791,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Swamp - Rainbow Foil Edition,Secret Lair Drop The Strange Sands Swamp Rainbow Foil Edition,https://www.tcgplayer.com/product/610791/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-swamp-rainbow-foil-edition,Normal,65.0,76.55,75.88
610792,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Mountain - Non-Foil Edition,Secret Lair Drop The Strange Sands Mountain Non Foil Edition,https://www.tcgplayer.com/product/610792/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-mountain-non-foil-edition,Normal,52.31,64.96,46.98
610793,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Mountain - Rainbow Foil Edition,Secret Lair Drop The Strange Sands Mountain Rainbow Foil Edition,https://www.tcgplayer.com/product/610793/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-mountain-rainbow-foil-edition,Normal,70.0,83.66,84.98
610794,Secret Lair Drop Series,Secret Lair Drop: The Strange Sands: Forest - Non-Foil Edition,Secret Lair Drop The Strange Sands Forest Non Foil Edition,https://www.tcgplayer.com/product/610794/magic-secret-lair-drop-series-secret-lair-drop-the-strange-sands-forest-non-foil-edition,Normal,34.49,49.99,38.81
